url,titulo_pagina,seo_title,meta_description,focus_keywords
/conformidade/politica-esg/,"Política ESG — Ambiental, Social e Governança","Política ESG: ambiental, social e governança | Télix","Política ESG da Télix: operação digital com menos papel, ergonomia e pausas no teleatendimento (NR-17), inclusão, ética, LGPD e alinhamento aos ODS da ONU.",política ESG
/contato/,Contato,Contato e como chegar | Télix Comunicação,"Fale com a Télix por telefone (61) 3771-1100, WhatsApp, e-mail ou formulário. Solicite uma proposta ou veja como chegar ao Brasil Center Shopping (GO).",contato Télix
/especialistas-em-saude-suplementar/,Especialistas em Saúde Suplementar,Atendimento em saúde suplementar: RN 623 e NIP | Télix,"Call center especializado em saúde suplementar: entenda a RN 623, a RN 566, a NIP e o IGR da ANS e veja como a Télix apoia a sua operadora de plano de saúde.",atendimento saúde suplementar
/mapa-do-site/,Mapa do site,Mapa do site | Télix Comunicação e Relacionamento,"Encontre rapidamente todas as páginas do site da Télix: soluções de atendimento em saúde suplementar, clientes, políticas de conformidade e canais de contato.",mapa do site
/perguntas-frequentes/,Perguntas Frequentes,Perguntas frequentes: terceirizar o SAC da saúde | Télix,"Dúvidas sobre terceirizar o SAC da operadora de saúde? Veja respostas sobre RN 623, RN 566, remoção 24h, LGPD, contratação, canais e carreiras na Télix.",perguntas frequentes
/solucoes/,Soluções,Soluções de atendimento para planos de saúde | Télix,"SAC com protocolo, agendamento RN 566, regulação e remoção 24h, pesquisa de satisfação, qualidade e WhatsApp: monte a operação ideal para a sua operadora.",soluções de atendimento saúde suplementar
/solucoes/agendamento/,"Agendamento de Consultas, Exames e Procedimentos (RN 566)",Agendamento RN 566 para operadoras e clínicas | Télix,"Agendamento de consultas e exames nos prazos máximos da RN 566, com protocolo e registro de cada tentativa. Para operadoras de saúde, hospitais e clínicas.",agendamento RN 566
/solucoes/atendimento-digital/,Atendimento Digital: WhatsApp e Chatbots,WhatsApp e chatbot para operadoras de saúde | Télix,"Atendimento digital para operadoras de saúde: WhatsApp, chat e chatbot com protocolo em todos os canais, transbordo para atendente humano e dados protegidos.",WhatsApp para plano de saúde
/solucoes/central-de-atendimento/,Central de Atendimento — Call Center Ativo e Receptivo,Call center ativo e receptivo para planos de saúde | Télix,"Call center ativo e receptivo para operadoras de saúde: equipe treinada, protocolo desde o início, LGPD e indicadores como TMA, TME e abandono. Peça proposta.",central de atendimento
/solucoes/pesquisa-de-satisfacao/,Pesquisa de Satisfação de Beneficiários,Pesquisa de satisfação de beneficiários | Télix,"Pesquisa de satisfação de beneficiários por telefone, WhatsApp e pós-atendimento, com NPS, CSAT, motivos de insatisfação e relatório com plano de ação.",pesquisa de satisfação de beneficiários
/solucoes/qualidade-e-monitoria/,Qualidade e Monitoria do Atendimento,Monitoria de qualidade do atendimento em saúde | Télix,"Monitoria de ligações e conversas, calibração, feedback aos atendentes e relatórios mensais de qualidade para operadoras de planos de saúde. Fale com a Télix.",monitoria de qualidade de atendimento
/solucoes/regulacao-e-remocao-hospitalar/,Regulação de Vagas e Remoção Hospitalar 24h,Regulação de vagas e remoção hospitalar 24h | Télix,"Central 24h por telefone e WhatsApp para regulação de vagas e remoção hospitalar de beneficiários: cotação de transporte, rastreabilidade e relatório mensal.",remoção hospitalar 24 horas
/solucoes/sac/,SAC para Operadoras — Serviço de Atendimento ao Consumidor/Cliente,SAC para operadoras de plano de saúde (RN 623) | Télix,"SAC para operadoras de planos de saúde: protocolo no primeiro contato, RN 623 e Decreto 11.034, escalonamento à Ouvidoria e relatórios mensais. Fale conosco.",SAC para operadora de plano de saúde
/solucoes/sistema-de-protocolo/,Sistema de Atendimento e Protocolo (RN 623),Sistema de protocolo de atendimento RN 623 | Télix,"Registro de protocolo como primeira ação, direcionamento das tratativas de SAC e RN 623, controle de prazos e relatório mensal para operadoras de saúde.",sistema de protocolo RN 623
/trabalhe-conosco/,Trabalhe Conosco,Trabalhe Conosco: vagas em atendimento | Télix,"Faça parte da equipe Télix: atendimento humanizado em saúde suplementar, treinamento contínuo e uma empresa desde 2012 no mercado. Cadastre seu currículo.",trabalhe conosco
